0.271372 buffer_diff L5 64
0.271372 buffer_diff L3 -64
0.271372 buffer_diff L3 64
0.271372 buffer_diff L4 -64
0.271372 buffer_diff L4 64
0.271372 buffer_diff L0 -64
0.271372 buffer_diff L0 64
0.271372 buffer_diff L1 -64
0.271372 buffer_diff L1 64
0.271372 buffer_diff L2 -64
0.271372 buffer_diff L2 64
0.271372 buffer_diff L5 64
0.271372 buffer_diff L0 64
0.271413 transmission L5 64
0.271413 transmission L0 64
0.271413 buffer_diff L5 -64
0.271413 buffer_diff L0 -64
0.271423 transmission L3 64
0.271423 transmission L4 64
0.271423 transmission L1 64
0.271423 transmission L2 64
0.271454 transmission L5 64
0.271454 transmission L0 64
0.281423 buffer_diff L1 -64
0.281423 buffer_diff L1 64
0.281423 buffer_diff L2 -64
0.281423 buffer_diff L2 64
0.281423 buffer_diff L3 -64
0.281423 buffer_diff L3 64
0.281423 buffer_diff L4 -64
0.281423 buffer_diff L4 64
0.281475 transmission L1 64
0.281475 transmission L2 64
0.281475 transmission L3 64
0.281475 transmission L4 64
0.291475 buffer_diff L2 -64
0.291475 buffer_diff L2 64
0.291475 buffer_diff L0 -64
0.291475 buffer_diff L0 64
0.291475 buffer_diff L1 -64
0.291475 buffer_diff L1 64
0.291475 buffer_diff L4 -64
0.291475 buffer_diff L4 64
0.291475 buffer_diff L5 -64
0.291475 buffer_diff L5 64
0.291475 buffer_diff L3 -64
0.291475 buffer_diff L3 64
0.291475 buffer_diff L0 64
0.291475 buffer_diff L5 64
0.291516 transmission L0 64
0.291516 transmission L5 64
0.291516 buffer_diff L0 -64
0.291516 buffer_diff L5 -64
0.291526 transmission L2 64
0.291526 transmission L1 64
0.291526 transmission L4 64
0.291526 transmission L3 64
0.291556 transmission L0 64
0.291556 transmission L5 64
0.301526 buffer_diff L4 -64
0.301526 buffer_diff L4 64
0.301526 buffer_diff L3 -64
0.301526 buffer_diff L3 64
0.301526 buffer_diff L2 -64
0.301526 buffer_diff L2 64
0.301526 buffer_diff L1 -64
0.301526 buffer_diff L1 64
0.301577 transmission L4 64
0.301577 transmission L3 64
0.301577 transmission L2 64
0.301577 transmission L1 64
0.311577 buffer_diff L5 -64
0.311577 buffer_diff L5 64
0.311577 buffer_diff L3 -64
0.311577 buffer_diff L3 64
0.311577 buffer_diff L4 -64
0.311577 buffer_diff L4 64
0.311577 buffer_diff L0 -64
0.311577 buffer_diff L0 64
0.311577 buffer_diff L1 -64
0.311577 buffer_diff L1 64
0.311577 buffer_diff L2 -64
0.311577 buffer_diff L2 64
0.311577 buffer_diff L5 64
0.311577 buffer_diff L0 64
0.311618 transmission L5 64
0.311618 transmission L0 64
0.311618 buffer_diff L5 -64
0.311618 buffer_diff L0 -64
0.311628 transmission L3 64
0.311628 transmission L4 64
0.311628 transmission L1 64
0.311628 transmission L2 64
0.311659 transmission L5 64
0.311659 transmission L0 64
0.321628 buffer_diff L1 -64
0.321628 buffer_diff L1 64
0.321628 buffer_diff L2 -64
0.321628 buffer_diff L2 64
0.321628 buffer_diff L3 -64
0.321628 buffer_diff L3 64
0.321628 buffer_diff L4 -64
0.321628 buffer_diff L4 64
0.321679 transmission L1 64
0.321679 transmission L2 64
0.321679 transmission L3 64
0.321679 transmission L4 64
0.331679 buffer_diff L2 -64
0.331679 buffer_diff L2 64
0.331679 buffer_diff L0 -64
0.331679 buffer_diff L0 64
0.331679 buffer_diff L1 -64
0.331679 buffer_diff L1 64
0.331679 buffer_diff L4 -64
0.331679 buffer_diff L4 64
0.331679 buffer_diff L5 -64
0.331679 buffer_diff L5 64
0.331679 buffer_diff L3 -64
0.331679 buffer_diff L3 64
0.331679 buffer_diff L0 64
0.331679 buffer_diff L5 64
0.331720 transmission L0 64
0.331720 transmission L5 64
0.331720 buffer_diff L0 -64
0.331720 buffer_diff L5 -64
0.331731 transmission L2 64
0.331731 transmission L1 64
0.331731 transmission L4 64
0.331731 transmission L3 64
0.331761 transmission L0 64
0.331761 transmission L5 64
0.341731 buffer_diff L4 -64
0.341731 buffer_diff L4 64
0.341731 buffer_diff L3 -64
0.341731 buffer_diff L3 64
0.341731 buffer_diff L2 -64
0.341731 buffer_diff L2 64
0.341731 buffer_diff L1 -64
0.341731 buffer_diff L1 64
0.341782 transmission L4 64
0.341782 transmission L3 64
0.341782 transmission L2 64
0.341782 transmission L1 64
0.351782 buffer_diff L5 -64
0.351782 buffer_diff L5 64
0.351782 buffer_diff L3 -64
0.351782 buffer_diff L3 64
0.351782 buffer_diff L4 -64
0.351782 buffer_diff L4 64
0.351782 buffer_diff L0 -64
0.351782 buffer_diff L0 64
0.351782 buffer_diff L1 -64
0.351782 buffer_diff L1 64
0.351782 buffer_diff L2 -64
0.351782 buffer_diff L2 64
0.351782 buffer_diff L5 64
0.351782 buffer_diff L0 64
0.351823 transmission L5 64
0.351823 transmission L0 64
0.351823 buffer_diff L5 -64
0.351823 buffer_diff L0 -64
0.351833 transmission L3 64
0.351833 transmission L4 64
0.351833 transmission L1 64
0.351833 transmission L2 64
0.351864 transmission L5 64
0.351864 transmission L0 64
0.361833 buffer_diff L1 -64
0.361833 buffer_diff L1 64
0.361833 buffer_diff L2 -64
0.361833 buffer_diff L2 64
0.361833 buffer_diff L3 -64
0.361833 buffer_diff L3 64
0.361833 buffer_diff L4 -64
0.361833 buffer_diff L4 64
0.361884 transmission L1 64
0.361884 transmission L2 64
0.361884 transmission L3 64
0.361884 transmission L4 64
0.371884 buffer_diff L2 -64
0.371884 buffer_diff L2 64
0.371884 buffer_diff L0 -64
0.371884 buffer_diff L0 64
0.371884 buffer_diff L1 -64
0.371884 buffer_diff L1 64
0.371884 buffer_diff L4 -64
0.371884 buffer_diff L4 64
0.371884 buffer_diff L5 -64
0.371884 buffer_diff L5 64
0.371884 buffer_diff L3 -64
0.371884 buffer_diff L3 64
0.371884 buffer_diff L0 64
0.371884 buffer_diff L5 64
0.371925 transmission L0 64
0.371925 transmission L5 64
0.371925 buffer_diff L0 -64
0.371925 buffer_diff L5 -64
0.371935 transmission L2 64
0.371935 transmission L1 64
0.371935 transmission L4 64
0.371935 transmission L3 64
0.371966 transmission L0 64
0.371966 transmission L5 64
0.381935 buffer_diff L4 -64
0.381935 buffer_diff L4 64
0.381935 buffer_diff L3 -64
0.381935 buffer_diff L3 64
0.381935 buffer_diff L2 -64
0.381935 buffer_diff L2 64
0.381935 buffer_diff L1 -64
0.381935 buffer_diff L1 64
0.381987 transmission L4 64
0.381987 transmission L3 64
0.381987 transmission L2 64
0.381987 transmission L1 64
0.391987 buffer_diff L5 -64
0.391987 buffer_diff L5 64
0.391987 buffer_diff L3 -64
0.391987 buffer_diff L3 64
0.391987 buffer_diff L4 -64
0.391987 buffer_diff L4 64
0.391987 buffer_diff L0 -64
0.391987 buffer_diff L0 64
0.391987 buffer_diff L1 -64
0.391987 buffer_diff L1 64
0.391987 buffer_diff L2 -64
0.391987 buffer_diff L2 64
0.391987 buffer_diff L5 64
0.391987 buffer_diff L0 64
0.392028 transmission L5 64
0.392028 transmission L0 64
0.392028 buffer_diff L5 -64
0.392028 buffer_diff L0 -64
0.392038 transmission L3 64
0.392038 transmission L4 64
0.392038 transmission L1 64
0.392038 transmission L2 64
0.392068 transmission L5 64
0.392068 transmission L0 64
0.402038 buffer_diff L1 -64
0.402038 buffer_diff L1 64
0.402038 buffer_diff L2 -64
0.402038 buffer_diff L2 64
0.402038 buffer_diff L3 -64
0.402038 buffer_diff L3 64
0.402038 buffer_diff L4 -64
0.402038 buffer_diff L4 64
0.402089 transmission L1 64
0.402089 transmission L2 64
0.402089 transmission L3 64
0.402089 transmission L4 64
0.412089 buffer_diff L2 -64
0.412089 buffer_diff L2 64
0.412089 buffer_diff L0 -64
0.412089 buffer_diff L0 64
0.412089 buffer_diff L1 -64
0.412089 buffer_diff L1 64
0.412089 buffer_diff L4 -64
0.412089 buffer_diff L4 64
0.412089 buffer_diff L5 -64
0.412089 buffer_diff L5 64
0.412089 buffer_diff L3 -64
0.412089 buffer_diff L3 64
0.412089 buffer_diff L0 64
0.412089 buffer_diff L5 64
0.412130 transmission L0 64
0.412130 transmission L5 64
0.412130 buffer_diff L0 -64
0.412130 buffer_diff L5 -64
